id,price,effective_date,display_field,pricebook_id,pricebook,default_supplier,supplier_trade_id,supplier_trade
23956,2.3727,27/06/2023 6:10,TIMBER FRAME : MGP109035LOSP : Pine Structural Framesure 90 X 35 MGP10 LOSP H2 Red,43318,MGP109035LOSP,TRUE,242,TIMBER FRAME
23955,2.2818,27/06/2023 6:10,TIMBER FRAME : MGP109035LOSPH2 : Pine Structural 90 X 35 MGP10 LOSP H2,43319,MGP109035LOSPH2,TRUE,242,TIMBER FRAME
23954,2.7364,27/06/2023 6:10,TIMBER FRAME : MGP107045LOSP : Pine Structural Framesure 70 X 45 MGP10 LOSP H2 Red,43320,MGP107045LOSP,TRUE,242,TIMBER FRAME
23953,2.8364,27/06/2023 6:10,TIMBER FRAME : MGP107045LOSPH2 : Pine Structural 70 X 45 MGP10 LOSP H2,43321,MGP107045LOSPH2,TRUE,242,TIMBER FRAME
23952,3.6273,27/06/2023 6:10,TIMBER FRAME : MGP109045LOSP : Pine Structural Framesure 90 X 45 MGP10 LOSP H2 Red,43322,MGP109045LOSP,TRUE,242,TIMBER FRAME
23951,3.5818,27/06/2023 6:10,TIMBER FRAME : MGP109045LOSPH2 : Pine Structural 90 X 45 MGP10 LOSP H2,43323,MGP109045LOSPH2,TRUE,242,TIMBER FRAME
23950,1.5545,27/06/2023 6:10,TIMBER FRAME : MGP107035PT : Pine Terminator 70 X 35 MGP10 H2F Termite Treated Framing,43324,MGP107035PT,TRUE,242,TIMBER FRAME
23949,1.8818,27/06/2023 6:10,TIMBER FRAME : MGP109035PT : Pine Terminator 90 X 35 MGP10 H2F Termite Treated Framing,43325,MGP109035PT,TRUE,242,TIMBER FRAME
23948,2.4545,27/06/2023 6:10,TIMBER FRAME : MGP107045PT : Pine Terminator 70 X 45 MGP10 H2F Termite Treated Framing,43326,MGP107045PT,TRUE,242,TIMBER FRAME
23947,3.2182,27/06/2023 6:10,TIMBER FRAME : MGP109045PT : Pine Terminator 90 X 45 MGP10 H2F Termite Treated Framing,43327,MGP109045PT,TRUE,242,TIMBER FRAME
23946,1.7273,27/06/2023 6:10,TIMBER FRAME : MGP107035B : Pine Structural Framesure 70 X 35 MGP10 H2-F Blue,43328,MGP107035B,TRUE,242,TIMBER FRAME
23945,1.9909,27/06/2023 6:10,TIMBER FRAME : MGP109035B : Pine Structural Framesure 90 X 35 MGP10 H2-F Blue,43329,MGP109035B,TRUE,242,TIMBER FRAME
23944,2.4545,27/06/2023 6:10,TIMBER FRAME : MGP107045B : Pine Structural Framesure 70 X 45 MGP10 H2-F Blue,43330,MGP107045B,TRUE,242,TIMBER FRAME
23943,3.1,27/06/2023 6:10,TIMBER FRAME : MGP109045B : Pine Structural Framesure 90 X 45 MGP10 H2-F Blue,43331,MGP109045B,TRUE,242,TIMBER FRAME
23942,1.5,27/06/2023 6:10,TIMBER FRAME : MGP107035T : Pine Structural Dipped Framing 70 X 35 MGP10 T2,43332,MGP107035T,TRUE,242,TIMBER FRAME
23941,2.4545,27/06/2023 6:10,TIMBER FRAME : MGP107045T : Pine Structural Dipped Framing 70 X 45 MGP10 T2,43333,MGP107045T,TRUE,242,TIMBER FRAME
23940,3.0818,27/06/2023 6:10,TIMBER FRAME : MGP109045T : Pine Structural Dipped Framing 90 X 45 MGP10 T2,43334,MGP109045T,TRUE,242,TIMBER FRAME
23939,2.4636,27/06/2023 6:10,TIMBER FRAME : MGP127035LOSP : Pine Structural 70 X 35 MGP12 LOSP H2,43335,MGP127035LOSP,TRUE,242,TIMBER FRAME
23938,2.6727,27/06/2023 6:10,TIMBER FRAME : MGP129035LOSP : Pine Structural Framesure 90 X 35 MGP12 LOSP,43336,MGP129035LOSP,TRUE,242,TIMBER FRAME
