 price ,effective_date,display_field,pricebook_id,pricebook,pricebook$type,default_supplier,supplier_trade_id,supplier_trade,product_id,contact_region
 $1.40 ,27/06/2023,FIX-OUT MATERIALS : SDP4218 : Square Dressed Pine 42 X 18,42356,SDP4218,116,FALSE,294,FIX-OUT MATERIALS,,South East Queensland
 $2.71 ,27/06/2023,FIX-OUT MATERIALS : SDP6618 : Square Dressed Pine 66 X 18,42357,SDP6618,116,FALSE,294,FIX-OUT MATERIALS,,South East Queensland
 $2.71 ,2/09/2023,Pre Hung Doors (PHD) : SDP6618 : Square Dressed Pine 66 X 18,42357,SDP6618,116,TRUE,520,Pre Hung Doors (PHD),,South East Queensland
 $2.46 ,27/06/2023,TIMBER FRAME : MGP127035 : Pine 70 X 35 MGP12,42362,MGP127035,116,TRUE,242,TIMBER FRAME,,South East Queensland
 $4.22 ,27/06/2023,TIMBER FRAME : DECKBAL9019 : Yellow Balau Batu 90 X 19 Decking Material,42363,DECKBAL9019,116,TRUE,242,TIMBER FRAME,,South East Queensland
 $3.66 ,27/06/2023,TIMBER FRAME : DECKM9019 : Merbau 90 X 19 Decking Material,42364,DECKM9019,116,TRUE,242,TIMBER FRAME,,South East Queensland
 $1.05 ,27/06/2023,FIX-OUT MATERIALS : CUSHSTOP : Door Stop Cushion,42365,CUSHSTOP,116,FALSE,294,FIX-OUT MATERIALS,,South East Queensland
 $1.00 ,11/03/2024,Dinkum Dunnies : HQ : Hire equipment as requested,42350,HQ,116,TRUE,670,Dinkum Dunnies,,
 $1.00 ,27/06/2023,HIRE : HQ : Hire equipment as requested,42350,HQ,116,FALSE,290,HIRE,,South East Queensland
 $250.00 ,24/07/2024,Wayke Waterproofing. : WS99 : Wet Seal Square 900 X 900,42351,WS99,116,TRUE,729,Wayke Waterproofing. Ware,,South East Queensland
 $250.00 ,27/06/2023,WET SEAL : WS99 : Wet Seal Square 900 X 900,42351,WS99,116,FALSE,234,WET SEAL,,South East Queensland
 $250.00 ,2/09/2023,Gold Coast Gappng : WS99 : Wet Seal Square 900 X 900,42351,WS99,116,FALSE,505,Gold Coast Gappng,,South East Queensland
 $250.00 ,2/09/2023,Nu Style Trade Pty Ltd : WS99 : Wet Seal Square 900 X 900,42351,WS99,116,FALSE,518,Nu Style Trade Pty Ltd,,South East Queensland
 $250.00 ,2/09/2023,Heartwood Industries Pty Ltd : WS99 : Wet Seal Square 900 X 900,42351,WS99,116,FALSE,508,Heartwood Industries Pty Ltd,,South East Queensland
 $1.00 ,27/06/2023,SCAFFOLD : QHOP : Quote for Hang-on Platform,42352,QHOP,116,TRUE,262,SCAFFOLD,,South East Queensland
 $1.00 ,5/09/2023,Direct Scaffold Pty LTD : QHOP : Quote for Hang-on Platform,42352,QHOP,116,FALSE,532,Direct Scaffold Pty LTD,,South East Queensland
 $1.08 ,27/06/2023,FIX-OUT MATERIALS : QP111 : Quad Pine 11 X 11,42353,QP111,116,FALSE,294,FIX-OUT MATERIALS,,South East Queensland
 $1.08 ,2/09/2023,Pre Hung Doors (PHD) : QP111 : Quad Pine 11 X 11,42353,QP111,116,TRUE,520,Pre Hung Doors (PHD),,South East Queensland
 $3.23 ,2/09/2023,Pre Hung Doors (PHD) : SDP9318 : Square Dressed Pine 93 X 18,42358,SDP9318,116,TRUE,520,Pre Hung Doors (PHD),,South East Queensland
 $2.71 ,27/06/2023,FIX-OUT MATERIALS : SDP9318 : Square Dressed Pine 93 X 18,42358,SDP9318,116,FALSE,294,FIX-OUT MATERIALS,,South East Queensland
 $1.86 ,27/06/2023,TIMBER FRAME : MGP107035 : Pine 70 X 35 MGP10,42359,MGP107035,116,TRUE,242,TIMBER FRAME,,South East Queensland
 $2.05 ,27/06/2023,TIMBER FRAME : MGP109035 : Pine 90 X 35 MGP10,42360,MGP109035,116,TRUE,242,TIMBER FRAME,,South East Queensland
 $5.65 ,27/06/2023,TIMBER FRAME : MGP1019035 : Pine 190 X 35 MGP10,42361,MGP1019035,116,TRUE,242,TIMBER FRAME,,South East Queensland
 $16.10 ,27/06/2023,FIX-OUT MATERIALS : WHR36 : Wardrobe Hanging Rod 3600 X 19mm,42367,WHR36,116,FALSE,294,FIX-OUT MATERIALS,,South East Queensland
 $16.10 ,2/09/2023,Pre Hung Doors (PHD) : WHR36 : Wardrobe Hanging Rod 3600 X 19mm,42367,WHR36,116,TRUE,520,Pre Hung Doors (PHD),,South East Queensland
