id,code,description,unit,range_id,range,colour_spec_id,colour_spec,colour_spec$type,price,default_supplier,brand_linked,budget_zone
43341,MGP129045LOSPH2,Pine Structural 90 X 45 MGP12 LOSP H2,lm,,,,,,4.1545,TIMBER FRAME,,
43342,MGP127035PT,Pine Terminator 70 X 35 MGP12 H2F Termite Treated Framing,lm,,,,,,2.0091,TIMBER FRAME,,
43343,MGP129035PT,Pine Terminator 90 X 35 MGP12 H2F Termite Treated Framing,lm,,,,,,2.3,TIMBER FRAME,,
43344,MGP127045PT,Pine Terminator 70 X 45 MGP12 H2F Termite Treated Framing,lm,,,,,,2.7636,TIMBER FRAME,,
43345,MGP129045PT,Pine Terminator 90 X 45 MGP12 H2F Termite Treated Framing,lm,,,,,,3.5364,TIMBER FRAME,,
43346,MGP127035B,Pine Structural Framesure 70 X 35 MGP12 Blue,lm,,,,,,2.2545,TIMBER FRAME,,
43347,MGP129035B,Pine Structural Framesure 90 X 35 MGP12 Blue,lm,,,,,,2.3,TIMBER FRAME,,
43348,MGP127045B,Pine Structural Framesure 70 X 45 MGP12 Blue,lm,,,,,,3.0545,TIMBER FRAME,,
43349,MGP129045B,Pine Structural Framesure 90 X 45 MGP12 Blue,lm,,,,,,3.6727,TIMBER FRAME,,
43350,MGP127035T,Pine Structural 70 X 35 MGP12 Dipped Framing T2,lm,,,,,,2.0727,TIMBER FRAME,,
43351,MGP129035T,Pine Structural 90 X 35 MGP12 Dipped Framing T2,lm,,,,,,2.5,TIMBER FRAME,,
43352,MGP127045T,Pine Structural 70 X 45 MGP12 Dipped Framing T2,lm,,,,,,2.7636,TIMBER FRAME,,
43353,MGP129045T,Pine Structural 90 X 45 MGP12 Dipped Framing T2,lm,,,,,,3.5364,TIMBER FRAME,,
43354,PLY2409F27,Plywood Bracing 2440 X 900 X 4mm F27,shts,,,,,,12.8182,TIMBER FRAME,,
43355,PLY24094.5F14,Plywood Bracing 2400 X 900 X 4.5mm F14,shts,,,,,,15.4636,TIMBER FRAME,,
43356,PLY24097F14,Plywood Bracing 2400 X 900 X 7mm F14 Pine,shts,,,,,,20.7273,TIMBER FRAME,,
43357,PLY24124F27,Plywood Bracing 2440 X 1200 X 4mm F27,shts,,,,,,16.7364,TIMBER FRAME,,
43358,PLY24124.5F14,Plywood Bracing 2440 X 1200 X 4.5mm F14,shts,,,,,,18.9545,TIMBER FRAME,,
43359,PLY2440127F14,Plywood Bracing 2440 X 1200 X 7mm F14,shts,,,,,,25.6636,TIMBER FRAME,,
43360,PLY274509F27,Plywood Bracing 2745 X 900 X 400 F27,shts,,,,,,15.3091,TIMBER FRAME,,
43361,PLY2745124F27,Plywood Bracing 2745 X 1200 X 4mm F27,shts,,,,,,20.3727,TIMBER FRAME,,
43362,PLY30094F27,Plywood Bracing 3050 X 900 X 4mm F27,shts,,,,,,17.8727,TIMBER FRAME,,
43363,PLY30124,Plywood Bracing 3050 X 1200 X 4mm,shts,,,,,,23.7909,TIMBER FRAME,,
43364,PBF36922R,PART BRD-TERMIFLOR RED TNG 3600X900X22MM (3.24SQM),shts,,,,,,50.7364,TIMBER FRAME,,
43365,PBF36919T,PART BRD-TERMIFLOR YLW TNG 3600X900X19MM (3.24SQM),shts,,,,,,35.8182,TIMBER FRAME,,
43366,8423050,PINE POST-TTD LAMINATED 88X88 H3 DAR PRIMED,lm,,,,,,14.1727,TIMBER FRAME,,
43367,LWB2600100,Linea Weatherboard 2600 X 100,Each,,,,,,11.7909,Bunnings,,
43368,WWGJ2745,Weathertex Weathergrove Joiner 2745mm,Each,,,,,,5.4091,Bunnings,,
43369,UCT1812,Underlay Ceramic Tile 1800 X 1200,shts,,,,,,20.2727,Bunnings,,
43370,LF85800,Lintel Ingal Flat 85 X 800mm,Each,,,,,,17.4091,Bunnings,,
43371,LF851000,Lintel Ingal Flat 85 X 1000mm,Each,,,,,,21.7545,Bunnings,,
43372,LF851100,Lintel Ingal Flat 85 X 1100mm,Each,,,,,,23.9182,Bunnings,,
43373,P3.0,Painting of Internal Walls 3.0 High,Sqm,,,,,,2,PAINTER,,Paint
43374,TILERBF,Bedded Floors,Sqm,,,,,,55,Alex Wang Pty Ltd,,
43375,36BP,28-32 Metre Boom Pump,hours,,,,,,200,CONCRETE PUMPING,,
43376,38BP,38 Metre Boom Pump,hours,,,,,,160,CONCRETE PUMPING,,
43377,40BP,40 Metre Boom Pump,hours,,,,,,160,CONCRETE PUMPING,,
43378,WKWTS,442mm Wide Top Shelf White,lm,,,,,,48,Civic Shower Screens & Wardrobes,,
43379,CONDETSUR,Contour and Detail Survey - Including Subdivision Proposal Plan,Each,,,,,,800,Survey Mark,,
43380,NATGRLEV,Natural Ground Level Determine Natural Ground Level as Opposed to Ground Level,Each,,,,,,250,Survey Mark,,
43381,CONID,Identification,Each,,,,,,1200,Survey Mark,,
43382,IHCERT,Initial Height Certificate,Each,,,,,,250,Survey Mark,,
43383,DROTTHIRE,Drott Hire,hours,,,,,,145,,,
43384,3TEXC,Excavator 3 Tonne,hours,,,,,,125,MACHINERY,,
43385,4TEXC,Excavator 4 Tonne,hours,,,,,,90,MACHINERY,,
43386,HPWO,Hot Plate and Wall Oven,Each,,,,,,,,,
43387,HPO,Hot Plate Only,Each,,,,,,,,,
43388,RANGHOOD,Range Hood,Each,,,,,,,,,
43389,URS,Upright Stove,Each,,,,,,,,,
43390,W3WAY,Wiring of 3 Way Switch,Each,,,,,,,,,
43391,EPMSB,Eternity Plus Continuous Flow (M series) Bottle Gas Booster 20L/min - Preset,each,163,Gas Bottle - Chromagne,365,Default Colour - Default,113,500,Chromagen Australia Pty Ltd,Chromagne - HWS,
43392,EPMSNG,Eternity Plus Continuous Flow (M Series) Natural Gas Booster 20L/min - Preset,each,162,Gas Natural - Chromagne,365,Default Colour - Default,113,500,Chromagen Australia Pty Ltd,Chromagne - HWS,
43393,B2615,Continuous Flow Natural Gas Booster 26L/min - Preset,each,162,Gas Natural - Chromagne,365,Default Colour - Default,113,635,Chromagen Australia Pty Ltd,Chromagne - HWS,
43395,BRICKQUOTE,Bricks as per Quote,/1000,,,,,,1,Austral - Rochedale,,
43397,INTTPIN,Initial Town Planning Investigation and Critique of Design Plans,Each,,,,,,700,Survey Mark,,
43398,TPAPP,Town Planning Application,Each,,,,,,2750,Survey Mark,,
43399,CA1675W,Decina Carina Bath 1675mm White,Each,304,Carina - Decina,104,White - Plumbing Fitoff Gear,113,283.73,Harvey Norman Commercial QLD,Decina - Island Bath,
43400,CA1525W,Decina Carina Bath 1525mm White,Each,304,Carina - Decina,104,White - Plumbing Fitoff Gear,113,254.58,Harvey Norman Commercial QLD,Decina - Island Bath,
43401,WS1510,Wet Seal Square 1500 X 1000,Each,,,,,,295,Wayke Waterproofing. Ware,,
43402,LIGHTQUOTE,Lighting as Per Quote,each,,,,,,,,,Light Fittings
43403,WS1110F,Wet Seal Front Only 1100 X 1000,Each,,,,,,327,Wayke Waterproofing. Ware,,
43404,WS1510F,Wet Seal Front Only 1500 X 1000,Each,,,,,,355,Wayke Waterproofing. Ware,,
43405,BILB1,Steel Metal insert For Brick work,1,,,,,,22.8091,Lovering Installations QLD,,
43406,ABTIES,Allowance for Brick ties,Each,,,,,,0.1,BRICKLAYER,,
43407,AFLASHING,Allowance for Flashings (Dampcourse),lm,,,,,,1,BRICKLAYER,,
43408,WS1110C,Wet Seal Cut Off Corner 1100 X 1000,Each,,,,,,267,Wayke Waterproofing. Ware,,
43409,WS1510C,Wet Seal Cut Off Corner 1500 X 1000,Each,,,,,,295,Wayke Waterproofing. Ware,,
43410,WS1110,Wet Seal Square 1100 X 1000,Each,,,,,,267,Wayke Waterproofing. Ware,,
43411,CONCRETORQUOTE,Concretor as Per Quote,Each,,,,,,1,CONCRETOR,,
43412,CARPENTERQUOTE,Carpenter as per Quote,Each,,,164,Colour Not Required - Plumbing Fitoff Gear,113,1,Tekna Carpentry,,
43413,AIRELEC1,Electrical Air-Con Circuit Single Phase upto 30AMPS,Each,,,,,,,,,
43414,AIRELEC3,Electrical Air-Con Circuit 3 Phase upto 30AMPS,Each,,,,,,,,,
43415,SEWPUMP,"Bio Cycle and Water Pump Circuit (Single Phase, 25 mtrs) plus sensor to inside house",Each,,,,,,,,,
43416,OSPP,Waterproof Single Power Point,Each,,,,,,69,TL Electrical,,
43417,PLDR2148,"Panel Lift 2135 X 4880 Statesman -includes motor with 1 wall and 2 remote control openers ,Side track seals included.",each,275,Statesman - B & D Garage Doors,,,,1680,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x48 Panel Lift,
43418,PLDR2151,"Panel Lift 2135 X 5150 Statesman -includes motor with 1 wall and 2 remote control openers ,Side track seals included.",each,275,Statesman - B & D Garage Doors,,,,1737,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x51 Panel Lift,
43419,PLDR2154,"Panel Lift 2135 X 5450 Statesman -includes motor with 1 wall and 2 remote control openers ,Side track seals included.",each,275,Statesman - B & D Garage Doors,,,,2048,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x54 Panel LIft,
43420,PLDR2248,"Panel Lift 2285 X 4880 Statesman -includes motor with 1 wall and 2 remote control openers ,Side track seals included.",each,275,Statesman - B & D Garage Doors,,,,1863,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x48 Panel Lift,
43421,PLDR2251,"Panel Lift 2285 X 5150 Statesman -includes motor with 1 wall and 2 remote control openers ,Side track seals included.",each,275,Statesman - B & D Garage Doors,,,,1932,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x51 Panel Lift,
43422,PLDR2254,"Panel Lift 2285 X 5450 Statesman -includes motor with 1 wall and 2 remote control openers ,Side track seals included.",each,275,Statesman - B & D Garage Doors,,,,3210,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x54 Panel Lift,
43423,PLDR2448,"Panel Lift 2440 X 4880 Statesman -includes motor with 1 wall and 2 remote control openers ,Side track seals included.",each,275,Statesman - B & D Garage Doors,,,,1863,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x48 Panel Lift,
43424,PLDR2451,"Panel Lift 2440 X 5150 Statesman -includes motor with 1 wall and 2 remote control openers ,Side track seals included.",each,275,Statesman - B & D Garage Doors,,,,1932,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x51 Panel Lift,
43425,PLDR2454,"Panel Lift 2440 X 5450 Statesman -includes motor with 1 wall and 2 remote control openers ,Side track seals included.",each,275,Statesman - B & D Garage Doors,,,,3210,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x54 Panel Lift,
43426,PLDG2148,"Panel Lift 2135 X 4880 Grange -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,303,Grange - B & D Garage Doors,,,,1680,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x48 Panel Lift,
43427,PLDG2151,"Panel Lift 2135 X 5150 Grange -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,303,Grange - B & D Garage Doors,,,,1737,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x51 Panel Lift,
43428,PLDG2154,"Panel Lift 2135 X 5450 Grange -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,303,Grange - B & D Garage Doors,,,,1863,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x54 Panel LIft,
43429,PLDG2248,"Panel Lift 2285 X 4880 Grange -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,303,Grange - B & D Garage Doors,,,,1863,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x48 Panel Lift,
43430,PLDG2251,"Panel Lift 2285 X 5150 Grange -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,303,Grange - B & D Garage Doors,,,,1932,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x51 Panel Lift,
43431,PLDG2254,"Panel Lift 2285 X 5450 Grange -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,303,Grange - B & D Garage Doors,,,,3210,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x54 Panel Lift,
43432,PLDG2448,"Panel Lift 2440 X 4880 Grange -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,303,Grange - B & D Garage Doors,,,,1863,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x48 Panel Lift,
43433,PLDG2451,"Panel Lift 2440 X 5150 Grange -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,303,Grange - B & D Garage Doors,,,,1932,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x51 Panel Lift,
43434,PLDG2454,"Panel Lift 2440 X 5450 Grange -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,303,Grange - B & D Garage Doors,,,,3210,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x54 Panel Lift,
43435,PLDM2148,"Panel Lift 2135 X 4880 Seville -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,289,Seville - B & D Garage Doors,,,,1680,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x48 Panel Lift,
43436,PLDM2151,"Panel Lift 2135 X 5150 Seville -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,289,Seville - B & D Garage Doors,,,,1737,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x51 Panel Lift,
43437,PLDM2154,"Panel Lift 2135 X 5450 Seville -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,289,Seville - B & D Garage Doors,,,,2048,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x54 Panel LIft,
43438,PLDM2248,"Panel Lift 2285 X 4880 Seville -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,289,Seville - B & D Garage Doors,,,,1863,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x48 Panel Lift,
43439,PLDM2251,"Panel Lift 2285 X 5150 Seville -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,289,Seville - B & D Garage Doors,,,,1932,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x51 Panel Lift,
43440,PLDM2254,"Panel Lift 2285 X 5450 Seville -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,289,Seville - B & D Garage Doors,,,,3210,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x54 Panel Lift,
43441,PLDM2448,"Panel Lift 2440 X 4880 Seville -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,289,Seville - B & D Garage Doors,,,,1863,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x48 Panel Lift,
43442,PLDM2451,"Panel Lift 2440 X 5150 Seville -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,289,Seville - B & D Garage Doors,,,,1932,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x51 Panel Lift,
43443,PLDM2454,"Panel Lift 2440 X 5450 Seville -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,289,Seville - B & D Garage Doors,,,,3210,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x54 Panel Lift,
43444,PLDC2148,"Panel Lift 2135 X 4880 Nullabor -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,257,Nullabor - B & D Garage Doors,,,,1680,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x48 Panel Lift,
43445,PLDC2151,"Panel Lift 2135 X 5150 Nullabor -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,257,Nullabor - B & D Garage Doors,,,,1737,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x51 Panel Lift,
43446,PLDC2154,"Panel Lift 2135 X 5450 Nullabor -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,257,Nullabor - B & D Garage Doors,,,,1963,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x54 Panel LIft,
43447,PLDC2248,"Panel Lift 2285 X 4880 Nullabor -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,257,Nullabor - B & D Garage Doors,,,,1863,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x48 Panel Lift,
43448,PLDC2251,"Panel Lift 2285 X 5150 Nullabor -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,257,Nullabor - B & D Garage Doors,,,,1932,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x51 Panel Lift,
43449,PLDC2254,"Panel Lift 2285 X 5450 Nullabor -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,257,Nullabor - B & D Garage Doors,,,,1932,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x54 Panel Lift,
43450,PLDC2448,"Panel Lift 2440 X 4880 Nullabor -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,257,Nullabor - B & D Garage Doors,,,,1863,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x48 Panel Lift,
43451,PLDC2451,"Panel Lift 2440 X 5150 Nullabor -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,257,Nullabor - B & D Garage Doors,,,,1932,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x51 Panel Lift,
43452,PLDC2454,"Panel Lift 2440 X 5450 Nullabor -includes motor with 1 wall and 2 remote control openers,Side track seals included.",each,257,Nullabor - B & D Garage Doors,,,,3210,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x54 Panel Lift,
43453,SLURRY,Slurry Mix,Each,,,,,,15,CONCRETE PUMPING,,
43454,PSTB250115,Post Support T-Blade Bolt On 250 X 115-125mm BOTBHD115H,Each,,,,,,19.2727,Finlaysons Timber & Hardware Pty Ltd,,
43455,WSINTCORN,Waterproof Internal Corners Shower/Bath,Each,,,,,,40,Wayke Waterproofing. Ware,,
43456,ALUMANGE,Supply & Install Aluminium Angle (Timber Floors Only),Each,,,,,,25,Wayke Waterproofing. Ware,,
43457,WPSPA,Waterproof Top Spa,Each,,,,,,40,Wayke Waterproofing. Ware,,
43458,EADECK,Aluminium Drip Angle for Edge of Deck,lm,,,,,,5,Alex Wang Pty Ltd,,
43459,SDFGLH820,Entry Door Frame Single with 1 Fixed Glazed Clear Panel 140 X 31 To Suit 820 X 2040 Door LH 1210mm With Sill - Paint Grade,each,420,Front Door Frames - Front Door Frames,,,,247,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43460,SDFGLH820S,Entry Door Frame Single with 1 Fixed Glazed Clear Panel 140 X 31 To Suit 820 X 2040 Door LH 1210mm With Sill - Stain Grade,each,420,Front Door Frames - Front Door Frames,,,,284,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43461,CARPINSTBATH,Carpenter Install Bath,Each,,,164,Colour Not Required - Plumbing Fitoff Gear,113,150,Tekna Carpentry,,
43462,CARPEXTDOOR,Carpenter Install External Door and Door Lock,Each,,,164,Colour Not Required - Plumbing Fitoff Gear,113,150,Tekna Carpentry,,
43463,CARPGABLEM2CH,Carpenter Install Gable per m2 Cement sheet,Sqm,,,164,Colour Not Required - Plumbing Fitoff Gear,113,12.5,Tekna Carpentry,,
43464,CARPSOFFITGABLE,Carpenter Soffit Gable,Each,,,164,Colour Not Required - Plumbing Fitoff Gear,113,75,Tekna Carpentry,,
43465,CARPPRENAIL,Carpenter Erect Prenail Frame,Sqm,,,164,Colour Not Required - Plumbing Fitoff Gear,113,13,Tekna Carpentry,,
43466,CARPTIMFLOOR,Carpenter Construct Timber Floor (joist only),Sqm,,,164,Colour Not Required - Plumbing Fitoff Gear,113,6,Tekna Carpentry,,
43467,CARPLAYDECK,Carpenter Lay Timber Decking,Sqm,,,164,Colour Not Required - Plumbing Fitoff Gear,113,12,Tekna Carpentry,,
43468,CARPINSTPOST,Carpenter Install Post (including brackets),Each,,,164,Colour Not Required - Plumbing Fitoff Gear,113,20,Tekna Carpentry,,
43469,CARPEXTBEAD,Carpenter External Beading,Sqm,,,164,Colour Not Required - Plumbing Fitoff Gear,113,2,Tekna Carpentry,,
43470,CARPSHEETWIN,Carpenter Sheeting Over Windows,Sqm,,,164,Colour Not Required - Plumbing Fitoff Gear,113,18,Tekna Carpentry,,
43471,CARPBUIBULKLM,Carpenter Build Bulkhead lm,lm,,,164,Colour Not Required - Plumbing Fitoff Gear,113,15,Tekna Carpentry,,
43472,GHP,Rough in And Fitoff First Gas Point,Each,,,,,,795,GAS,,
43473,EGP,Additional Rough In /Fitoff Gas Point,Each,,,,,,85,GAS,,
43474,GCP15,1/2 Copper Pipe (15mm),lm,,,,,,19,GAS,,
43475,GCP20,3/4 Copper Pipe (20mm),lm,,,,,,23,GAS,,
43476,CARPGABLEM2BB,Carpenter Install Gable per m2 Blueboard,Sqm,,,164,Colour Not Required - Plumbing Fitoff Gear,113,18,Tekna Carpentry,,
43477,CARPGABLEM2WB,Carpenter Install Gable per m2 Weatherboard,Sqm,,,164,Colour Not Required - Plumbing Fitoff Gear,113,35,Tekna Carpentry,,Base House
43478,STDSETOUTREPIN,Standard Repin,Each,,,,,,340,Survey Mark,,
43479,SDO770,Entry Door Frame Single 140 X 31 To Suit 770 X 2040 Door With Sill - Paint Grade,each,420,Front Door Frames - Front Door Frames,,,,132,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43480,SDOS770,Entry Door Frame Single 140 X 31 To Suit 770 X 2040 Door With Sill - Stain Grade,each,420,Front Door Frames - Front Door Frames,,,,154,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43481,SDO870,Entry Door Frame Single 140 X 31 To Suit 870 X 2040 Door With Sill - Paint Grade,each,420,Front Door Frames - Front Door Frames,,,,159,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43482,SDOS870,Entry Door Frame Single 140 X 31 To Suit 870 X 2040 Door With Sill - Stain Grade,each,420,Front Door Frames - Front Door Frames,,,,182.8545,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43483,DD770,Double Door Entry Frame 140 X 31 To Suit 770 X 2040 Door With Sill - Paint Grade,each,420,Front Door Frames - Front Door Frames,,,,193,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43484,DD770S,Double Door Entry Frame 140 X 31 To Suit 770 X 2040 Door With Sill - Stain Grade,each,420,Front Door Frames - Front Door Frames,,,,228,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43485,DD870,Double Door Entry Frame 140 X 31 To Suit 870 X 2040 Door With Sill - Paint Grade,each,420,Front Door Frames - Front Door Frames,,,,258.6,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43486,DD870S,Double Door Entry Frame 140 X 31 To Suit 870 X 2040 Door With Sill - Stain Grade,each,420,Front Door Frames - Front Door Frames,,,,297.3909,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43487,MGP9027S,Pine 90 X 35 MGP10 2.7 Studs,Each,,,,,,5.5364,TIMBER FRAME,,
43488,MGP1019045,Pine 190 X 45 MGP10,lm,,,,,,13.4182,TIMBER FRAME,,
43489,MGP101403,Pine 140 X 35 MGP10,lm,,,,,,4.5,TIMBER FRAME,,
43490,MGP9024S,Pine 90 X 35 MGP10 2.4 Studs,Each,,,,,,4.9091,TIMBER FRAME,,
43491,MGP101203,Pine 120 X 35 MGP10,lm,,,,,,3.8,TIMBER FRAME,,
43492,CARPBUIBULKM2,Carpenter Build Bulkhead m2,Sqm,,,164,Colour Not Required - Plumbing Fitoff Gear,113,10,Tekna Carpentry,,
43493,AIRELEC2,Electrical Air-Con Circuit Single Phase upto 30AMPS (>1),Each,,,,,,,,,
43494,WPGO,Window Protection Glass Only,Sqm,,,,,,4.5,WINDOWS,,
43495,WPGF1,Window Protection Glass Plus Frame 1,Sqm,,,,,,5.4,WINDOWS,,
43496,WPDF2,Window Protection Glass Plus Frame 2,Sqm,,,,,,5.9,WINDOWS,,
43497,PSF1,Service Fee,Each,,,,,,45,WINDOWS,,
43498,WPGF1S,Window Protection Glass Plus Frame 1 with Service Fee,Sqm,,,,,,4.4,WINDOWS,,
43499,WPGF2S,Window Protection Glass Plus Frame 2 with Service Fee,Sqm,,,,,,4.9,WINDOWS,,
43500,WPGOS,Window Protection Glass Only with Service Fee,Sqm,,,,,,3.5,WINDOWS,,
43501,P3.6,Painting of Internal Walls 3.6 High,Sqm,,,,,,3,PAINTER,,Paint
43502,CARPFRAMEGABLE,Carpenter Frame Gable,Each,,,164,Colour Not Required - Plumbing Fitoff Gear,113,75,Tekna Carpentry,,
43503,P3.3,Painting of Internal Walls 3.3 High,Sqm,,,,,,2.5,PAINTER,,Paint
43504,EXTTILING,Std Rate External Floor Tiling up to 450mm Square or 600mm x 300mm,Sqm,,,,,,45,Alex Wang Pty Ltd,,
43505,MISCGCP,Additional cost Assosiated with Gas Copper Pipe,Each,,,,,,1,GAS,,
43506,ACACOR,Additional Charge Automatic Changeover Regulator,Each,,,,,,85,GAS,,
43507,FOGP,Request for Gas Fitoff,Each,,,,,,1,GAS,,
43508,ALUM,Aluminium,lm,,,,,,1,WINDOWS,,
43509,VENEBLIND,Venetian Blind as per quote,Each,,,,,,1,Lovering Installations QLD,,
43510,VERTBLIND,Vertical Blinds as per quote,Each,,,,,,1,Lovering Installations QLD,,
43511,TIMBER,Timber,lm,,,,,,1,WINDOWS,,
43512,SDO160770,Entry Door Frame Single 160 X 41 To Suit 770 X 2040 Door With Sill - Paint Grade,each,420,Front Door Frames - Front Door Frames,,,,143,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43513,SDOS160770,Entry Door Frame Single 160 X 41 To Suit 770 X 2040 Door With Sill - Stain Grade,each,420,Front Door Frames - Front Door Frames,,,,167,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43514,SDO1160820,Entry Door Frame Single 160 X 41 To Suit 820 X 2040 Door With Sill - Paint Grade,each,420,Front Door Frames - Front Door Frames,,,,143,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43515,SDO1S160820,Entry Door Frame Single 160 X 41 To Suit 820 X 2040 Door With Sill - Stain Grade,each,420,Front Door Frames - Front Door Frames,,,,167,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43516,SDO160870,Entry Door Frame Single 160 X 41 To Suit 870 X 2040 Door With Sill - Paint Grade,each,420,Front Door Frames - Front Door Frames,,,,175.8,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43517,SDOS160870,Entry Door Frame Single 160 X 41 To Suit 870 X 2040 Door With Sill - Stain Grade,each,420,Front Door Frames - Front Door Frames,,,,182.8545,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43518,DD160770,Double Door Entry Frame 160 X 31 To Suit 770 X 2040 Door With Sill - Paint Grade,each,420,Front Door Frames - Front Door Frames,,,,208,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43519,DD160770S,Double Door Entry Frame 160 X 31 To Suit 770 X 2040 Door With Sill - Stain Grade,each,420,Front Door Frames - Front Door Frames,,,,244,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43520,DD160820,Double Door Entry Frame 160 X 31 To Suit 820 X 2040 Door With Sill - Paint Grade,each,420,Front Door Frames - Front Door Frames,,,,208,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43521,DD160820S,Double Door Entry Frame 160 X 31 To Suit 820 X 2040 Door With Sill - Stain Grade,each,420,Front Door Frames - Front Door Frames,,,,244,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
43522,DD160870,Double Door Entry Frame 160 X 31 To Suit 870 X 2040 Door With Sill - Paint Grade,each,420,Front Door Frames - Front Door Frames,,,,265,Pre Hung Doors (PHD),Front Door Frames - Front Door Frames,
