id,code,description,unit,range_id,range,colour_spec_id,colour_spec,colour_spec$type,price,default_supplier,brand_linked,budget_zone
46859,AX16200.MB,Arcisan Axus Pin Lever Wall Mounted Basin/Bath Mixer with 220mm Spout on Backplate Trim Kit Only - Matt Black,each,241,Axus - Arcisan,102,Matte Black - Plumbing Fitoff Gear,113,87,Harvey Norman Commercial QLD,Arcisan - Wall Mounted Mixer Spout Combo,
46860,CO1800W,Decina Cool Freestanding Bath 1800mm,each,,,,,,944,Harvey Norman Commercial QLD,,
46861,RUM90XCOM,Robinhood 90cm Undermount Rangehood,Each,83,Robinhood - Robinhood,353,Stainless Steel - Electrical,113,354.2364,APPLIANCES,Robinhood - 90cm Undermount Rangehood,
46862,SJS92HLH920,Pine Single Jamb Set Hinged 92 X 19 LH 2040 Chrome (to Suit 920 Door),Each,,,,,,37.5455,Pre Hung Doors (PHD),,
46863,SJS92HRH920,Pine Single Jamb Set Hinged 92 X 19 RH 2040 Chrome (to Suit 920 Door),Each,,,,,,37.5455,Pre Hung Doors (PHD),,
46864,SJS92LOLH920,Pine Single Jamb Set Lift Off Hinge 92 X 19 LH 2040 Chrome (to Suit 920 Door),Each,,,,,,37.5455,Pre Hung Doors (PHD),,
46865,SJS92LORH920,Pine Single Jamb Set Lift Off Hinge 92 X 19 RH 2040 Chrome (to Suit 920 Door),Each,,,,,,37.5455,Pre Hung Doors (PHD),,
46866,HAG9920FHLHLHC,Hume Accent HAG9 2040 X 920 X 35 54mm Face Hole Hinged and Latched LH Chrome,each,326,Accent - Hume,362,Chrome - Door Furniture,113,105.3818,Pre Hung Doors (PHD),Hume - 2100 920 Int Door,
46867,HAG9920FHLHRHC,Hume Accent HAG9 2040 X 920 X 35 54mm Face Hole Hinged and Latched RH Chrome,each,326,Accent - Hume,362,Chrome - Door Furniture,113,105.3818,Pre Hung Doors (PHD),Hume - 2100 920 Int Door,
46868,HAG9920FHLOHLHC,Hume Accent HAG9 2040 X 920 X 35 54mm Face Hole and Latched Lift Off Hinge LH Chrome,each,326,Accent - Hume,362,Chrome - Door Furniture,113,105.3818,Pre Hung Doors (PHD),Hume - 2100 920 Int Door,
46869,HAG9920FHLOHRHC,Hume Accent HAG9 2040 X 920 X 35 54mm Face Hole and Latched Lift Off Hinge RH Chrome,each,326,Accent - Hume,362,Chrome - Door Furniture,113,105.3818,Pre Hung Doors (PHD),Hume - 2100 920 Int Door,
46870,AX09C,Arcisan Axus Stainless Steel Shelf 440mm Chrome,each,241,Axus - Arcisan,115,Chrome - Plumbing Fitoff Gear,113,48,Harvey Norman Commercial QLD,Arcisan - Shower Shelf,
46871,GLO99945,Barben Glo Glass Shelf 450mm Chrome,Each,,,115,Chrome - Plumbing Fitoff Gear,113,42,Harvey Norman Commercial QLD,,
46872,AX07.MB,Arcisan Axus Guest Towel Ring - Matt Black,each,241,Axus - Arcisan,102,Matte Black - Plumbing Fitoff Gear,113,41.4,Harvey Norman Commercial QLD,Arcisan - Robehook,
46873,AX08.MB, Arcisan Axus Robe Hook - Matt Black,each,241,Axus - Arcisan,102,Matte Black - Plumbing Fitoff Gear,113,11.5,Harvey Norman Commercial QLD,Arcisan - Robehook,
46874,STDBRICKQLDBR,STD Brick QLD Builders Range,/1000,98,Std - Austral,365,Default Colour - Default,113,1042,Austral - Rochedale,Austral - Brick,
46875,BLANCO400,Blanco 400 Single Undermount Sink - White,Each,131,Subline - Blanco,104,White - Plumbing Fitoff Gear,113,0.0091,Harvey Norman Commercial QLD,Blanco - Undermount Sink,
46876,BLANCO700,Blanco 700 Single Undermount Sink - White,Each,131,Subline - Blanco,104,White - Plumbing Fitoff Gear,113,903.21,Harvey Norman Commercial QLD,Blanco - Undermount Sink,
46877,OLVERISANT,Oliveri Santorini Double Bowl Undermount Sink - Black,each,407,Santorini - Oliveri,105,Black - Plumbing Fitoff Gear,113,0.0091,Harvey Norman Commercial QLD,Oliveri - Undermount Sink,
