item_code,item_name,category,unit_of_measure,current_price,supplier_name,brand,notes,last_updated
PLSC2230,"Panel Lift 2285 X 3050 Nullabor -includes motor with 1 wall and 2 remote control openers,Side track seals included",Nullabor - B & D Garage Doors,Each,1359.00,Sunstate Garage Doors (Travis Voigt TA),,,2025-11-03
PLSC2424,"Panel Lift 2440 X 2450 Nullabor -includes motor with 1 wall and 2 remote control openers,Side track seals included",Nullabor - B & D Garage Doors,Each,1307.00,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x24 Panel Lift,Brand: B & D Garage Doors - 24x24 Panel Lift | Model: 24x24 Panel Lift,2025-11-03
PLSC2427,"Panel Lift 2440 X 2750 Nullabor -includes motor with 1 wall and 2 remote control openers,Side track seals included",Nullabor - B & D Garage Doors,Each,1359.00,Sunstate Garage Doors (Travis Voigt TA),,,2025-11-03
PLSC2430,"Panel Lift 2440 X 3050 Madison -includes motor with 1 wall and 2 remote control openers,Side track seals included",Nullabor - B & D Garage Doors,Each,1359.00,Sunstate Garage Doors (Travis Voigt TA),,,2025-11-03
EWQ,Earth Works as Per Quote,General,Each,1.00,,,,2025-11-03
F14125125,Hardwood F14 Post 125 X 125,Timber,m,36.00,TIMBER FRAME,,,2025-11-03
LAWNMOW,Lawn Mowing,General,Each,70.00,LANDSCAPING,,Budget Zone: Turf,2025-11-03
DYBSS,Decking Yellow Balau KD 90 X 19 Smooth Both Sides,General,m,2.85,TIMBER FRAME,,,2025-11-03
FJPR6618,Radiata 66 X 18 Finger Jointed H3 Primed DAR,General,m,4.28,Bunnings,,,2025-11-03
PLY24097,Plywood Bracing 2440 X 900 X 7mm,Timber,Shts,24.06,TIMBER FRAME,,,2025-11-03
PLY27097,Plywood Bracing 2700 X 900 X 7mm,Timber,Shts,24.84,TIMBER FRAME,,,2025-11-03
PLY24127,Plywood Bracing 2440 X 1200 X 7mm,Timber,Shts,29.62,TIMBER FRAME,,,2025-11-03
PLY27127,Plywood Bracing 2700 X 1200 X 7mm,Timber,Shts,31.80,TIMBER FRAME,,,2025-11-03
TP20,Temporary Power Pole Minium Order including 12 weeks hire,Site Services,Each,660.00,TEMPORARY POWER,,,2025-11-03
PFW,Painting Feature Wall,Finishes,m²,50.00,PAINTER,,Budget Zone: Paint,2025-11-03
SFQ,Steel Frame As Per Quote,Timber,Each,1.00,Harvey's Mechanical & Welding,,,2025-11-03
ACIS,Allow Conduit In Slab,Concrete,Each,,,,NEEDS PRICING,2025-11-03
BLLEVY,Bricklayer Training Levy,General,/1000,1.50,Austral - Rochedale,,,2025-11-03
DLCCS,"Covercrete (Supply, Prep, Spray, Seal)",General,m²,46.00,Riki's Resealing,,Model: Driveway,2025-11-03
LSQUOTE,Complete Landscaping works as per quote,General,Each,1.00,LANDSCAPING,,,2025-11-03
BCPT165,Bar Chair Plastic Tipped 65mm PK100,General,Pkt,40.00,Ausreo Pty Ltd,,,2025-11-03
HAG9420FHLHRHC,Hume Accent HAG9 2040 X 420 X 35 54mm Face Hole Hinged and Latched RH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 420 Int Door,Brand: Hume - 2100 420 Int Door | Model: 2100 420 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9520FHLHLHC,Hume Accent HAG9 2040 X 520 X 35 54mm Face Hole Hinged and Latched LH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 520 Int Door,Brand: Hume - 2100 520 Int Door | Model: 2100 520 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9520FHLHRHC,Hume Accent HAG9 2040 X 520 X 35 54mm Face Hole Hinged and Latched RH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 520 Int Door,Brand: Hume - 2100 520 Int Door | Model: 2100 520 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9620FHLHLHC,Hume Accent HAG9 2040 X 620 X 35 54mm Face Hole Hinged and Latched LH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 620 Int Door,Brand: Hume - 2100 620 Int Door | Model: 2100 620 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9620FHLHRHC,Hume Accent HAG9 2040 X 620 X 35 54mm Face Hole Hinged and Latched RH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 620 Int Door,Brand: Hume - 2100 620 Int Door | Model: 2100 620 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9720FHLHLHC,Hume Accent HAG9 2040 X 720 X 35 54mm Face Hole Hinged and Latched LH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 720 Int Door,Brand: Hume - 2100 720 Int Door | Model: 2100 720 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9720FHLHRHC,Hume Accent HAG9 2040 X 720 X 35 54mm Face Hole Hinged and Latched RH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 720 Int Door,Brand: Hume - 2100 720 Int Door | Model: 2100 720 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9820FHLHLHC,Hume Accent HAG9 2040 X 820 X 35 54mm Face Hole Hinged and Latched LH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 820 Int Door,Brand: Hume - 2100 820 Int Door | Model: 2100 820 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9820FHLHRHC,Hume Accent HAG9 2040 X 820 X 35 54mm Face Hole Hinged and Latched RH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 820 Int Door,Brand: Hume - 2100 820 Int Door | Model: 2100 820 Int Door | Colour: Chrome - Door Furniture,2025-11-03
LT43,Largo Laundry Tub,Largo - Abey,Each,138.41,Harvey Norman Commercial QLD,Abey - Laundry Tub,Brand: Abey - Laundry Tub | Model: Laundry Tub | Colour: Stainless Steel - Plumbing Fitoff Gear,2025-11-03
FRP1800,Rail and Paling 1800 High,General,m,95.00,Joii Landscaping,,Budget Zone: Fence,2025-11-03
HAG9420,Hume Accent HAG9 2040 X 420 X 35,Accent - Hume,Each,42.83,Pre Hung Doors,Hume - 2100 420 Int Door,Brand: Hume - 2100 420 Int Door | Model: 2100 420 Int Door,2025-11-03
HAG9520,Hume Accent HAG9 2040 X 520 X 35,Accent - Hume,Each,44.65,Pre Hung Doors,Hume - 2100 520 Int Door,Brand: Hume - 2100 520 Int Door | Model: 2100 520 Int Door,2025-11-03
HAG9620,Hume Accent HAG9 2040 X 620 X 35,Accent - Hume,Each,44.65,Pre Hung Doors,Hume - 2100 620 Int Door,Brand: Hume - 2100 620 Int Door | Model: 2100 620 Int Door,2025-11-03
HAG9720,Hume Accent HAG9 2040 X 720 X 35,Accent - Hume,Each,44.65,Pre Hung Doors,Hume - 2100 720 Int Door,Brand: Hume - 2100 720 Int Door | Model: 2100 720 Int Door,2025-11-03
HAG9820,Hume Accent HAG9 2040 X 820 X 35,Accent - Hume,Each,44.65,Pre Hung Doors,Hume - 2100 820 Int Door,Brand: Hume - 2100 820 Int Door | Model: 2100 820 Int Door,2025-11-03
HAG9420HOLHC,Hume Accent HAG9 2040 X 420 X 35 Hinged Only LH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 420 Int Door,Brand: Hume - 2100 420 Int Door | Model: 2100 420 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9420HORHC,Hume Accent HAG9 2040 X 420 X 35 Hinged Only RH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 420 Int Door,Brand: Hume - 2100 420 Int Door | Model: 2100 420 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9520HOLHC,Hume Accent HAG9 2040 X 520 X 35 Hinged Only LH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 520 Int Door,Brand: Hume - 2100 520 Int Door | Model: 2100 520 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9520HORHC,Hume Accent HAG9 2040 X 520 X 35 Hinged Only RH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 520 Int Door,Brand: Hume - 2100 520 Int Door | Model: 2100 520 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9620HOLHC,Hume Accent HAG9 2040 X 620 X 35 Hinged Only LH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 620 Int Door,Brand: Hume - 2100 620 Int Door | Model: 2100 620 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9620HORHC,Hume Accent HAG9 2040 X 620 X 35 Hinged Only RH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 620 Int Door,Brand: Hume - 2100 620 Int Door | Model: 2100 620 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9720HOLHC,Hume Accent HAG9 2040 X 720 X 35 Hinged Only LH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 720 Int Door,Brand: Hume - 2100 720 Int Door | Model: 2100 720 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9720HORHC,Hume Accent HAG9 2040 X 720 X 35 Hinged Only RH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 720 Int Door,Brand: Hume - 2100 720 Int Door | Model: 2100 720 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9820HOLHC,Hume Accent HAG9 2040 X 820 X 35 Hinged Only LH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 820 Int Door,Brand: Hume - 2100 820 Int Door | Model: 2100 820 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9820HORHC,Hume Accent HAG9 2040 X 820 X 35 Hinged Only RH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 820 Int Door,Brand: Hume - 2100 820 Int Door | Model: 2100 820 Int Door | Colour: Chrome - Door Furniture,2025-11-03
CPH,Concrete Pumping Hours,Concrete,Hours,140.00,CONCRETE PUMPING,,,2025-11-03
HAG9420FHLHLHC,Hume Accent HAG9 2040 X 420 X 35 54mm Face Hole Hinged and Latched LH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 420 Int Door,Brand: Hume - 2100 420 Int Door | Model: 2100 420 Int Door | Colour: Chrome - Door Furniture,2025-11-03
C1C,Paint Cornice Different Colour,Finishes,Each,1000.00,PAINTER,,Budget Zone: Paint,2025-11-03
RSUR,Resurvey,General,Each,500.00,Survey Mark,,,2025-11-03
HAG9720FHLOHLHC,Hume Accent HAG9 2040 X 720 X 35 54mm Face Hole and Latched Lift Off Hinge LH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 720 Int Door,Brand: Hume - 2100 720 Int Door | Model: 2100 720 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9720FHLOHRHC,Hume Accent HAG9 2040 X 720 X 35 54mm Face Hole and Latched Lift Off Hinge RH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 720 Int Door,Brand: Hume - 2100 720 Int Door | Model: 2100 720 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9820FHLOHLHC,Hume Accent HAG9 2040 X 820 X 35 54mm Face Hole and Latched Lift Off Hinge LH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 820 Int Door,Brand: Hume - 2100 820 Int Door | Model: 2100 820 Int Door | Colour: Chrome - Door Furniture,2025-11-03
HAG9820FHLOHRHC,Hume Accent HAG9 2040 X 820 X 35 54mm Face Hole and Latched Lift Off Hinge RH Chrome,Accent - Hume,Each,63.00,Pre Hung Doors,Hume - 2100 820 Int Door,Brand: Hume - 2100 820 Int Door | Model: 2100 820 Int Door | Colour: Chrome - Door Furniture,2025-11-03
F102,Mesh Sqre 6000 X 2400mm SL102,General,Shts,98.40,Ausreo Pty Ltd,,,2025-11-03
MGP1219035,Pine 190 X 35 MGP12,Timber,m,7.28,TIMBER FRAME,,,2025-11-03
MGP1212035,Pine 120 X 35 MGP12,Timber,m,5.77,TIMBER FRAME,,,2025-11-03
MGP1214035,Pine 140 X 35 MGP12,Timber,m,6.00,TIMBER FRAME,,,2025-11-03
CS77090,Cavity Slider 2040 X 770 X 90mm Steel,Steel,Each,110.00,Pre Hung Doors,,,2025-11-03
CS72090,Cavity Slider 2040 X 720 X 90mm Steel,Steel,Each,110.00,Pre Hung Doors,,,2025-11-03
CS82090,Cavity Slider 2040 X 820 X 90mm Steel,Steel,Each,244.00,Pre Hung Doors,,,2025-11-03
WPCTF,Waterproof Over Timber Floor,Timber,m²,30.00,Wayke Waterproofing,,,2025-11-03
BCCR,Brisbane City Council Rates,Approvals,Each,207.60,LEGAL,,,2025-11-03
BCCTP,Brisbane City Council Town Planning,Approvals,Each,86.00,LEGAL,,,2025-11-03
SN,Settlement Notice,General,Each,22.60,LEGAL,,,2025-11-03
LTS,Land Tax Search,General,Each,26.20,LEGAL,,,2025-11-03
DLTSP,Department fo Lands Search - Plan,General,Each,12.60,LEGAL,,,2025-11-03
TOS,Titles Office Search,General,Each,27.64,LEGAL,,,2025-11-03
CONLS,Contaminated Land Search,General,Each,36.00,LEGAL,,,2025-11-03
MAINRS,Main Roads Search,General,Each,19.50,LEGAL,,,2025-11-03
MGP24S,Pine 70 X 35 MGP10 2.4 Studs,Timber,Each,4.46,TIMBER FRAME,,,2025-11-03
MGP27S,Pine 70 X 35 MGP10 2.7 Studs,Timber,Each,5.02,TIMBER FRAME,,,2025-11-03
MGP1224S,Pine 70 X 35 MGP12 2.4 Studs,Timber,Each,5.78,TIMBER FRAME,,,2025-11-03
MGP127S,Pine 70 X 35 MGP12 2.7 Studs,Timber,Each,6.38,TIMBER FRAME,,,2025-11-03
FAI,Fire Ant Inspection,General,Each,1.00,Fluid Building Approvals,,,2025-11-03
GIA,Generally in Accordance,General,Each,286.00,Fluid Building Approvals,,,2025-11-03
ICE,Initial Connection Electrical,Electrical,Each,0.01,Fluid Building Approvals,,,2025-11-03
NFC252.0500,Nail Fibre Cement Galv 25 X 2.0 500g,Concrete,Each,6.77,Finlaysons Timber & Hardware Pty Ltd,,,2025-11-03
HCEX,House Clean Extra as per discusson with Supervisor If any additional cleans required will be a re-clean rate,General,Each,1.00,A1 Builders Finals Services Group,,,2025-11-03
BFA,Bush Fire Assesment,General,Each,259.09,Fluid Building Approvals,,,2025-11-03
SILF,Supply and Install Light Fittings,Electrical,Each,,,,NEEDS PRICING,2025-11-03
FJPR4219,Radiata 42 X 19 Finger Jointed H3 Primed DAR,General,m,2.73,Bunnings,,,2025-11-03
WPRW,Waterproof Retaining Wall,Roofing,m²,30.00,Wayke Waterproofing,,,2025-11-03
ALBF,Labour for Backfill,Site Works,Hours,30.00,CONCRETOR,,,2025-11-03
D/BBG,Deadbolt for Double Doors Bright Gold,Doors & Windows,Pairs,75.00,Pre Hung Doors,,,2025-11-03
D/BBC,Deadbolt for Double Doors Bright Chrome,Doors & Windows,Pairs,75.00,Pre Hung Doors,,,2025-11-03
SDFGRH820,Entry Door Frame Single with 1 Fixed Glazed Clear Panel 140 X 31 To Suit 820 X 2040 Door RH 1210mm With Sill - Paint Grade,Front Door Frames - Front Door Frames,Each,250.00,Pre Hung Doors,Front Door Frames - Front Door Frames,Brand: Front Door Frames - Front Door Frames | Model: Front Door Frames,2025-11-03
REGLAZE,Reglaze Window,Doors & Windows,Each,1.00,WINDOWS,,,2025-11-03
WINQUOTE,Window Quote,Doors & Windows,Each,1.00,Southern Star Windows (QLD),,,2025-11-03
IRRQ,Irrigation Quote,General,Each,1.00,LANDSCAPING,,,2025-11-03
BCERTENG,Brisbane Certify,General,Each,1.00,Fluid Building Approvals,,,2025-11-03
DDS,Double Door Entry Frame 140 X 31 To Suit 820 X 2040 Door With Sill with drop bolt pair (1678) - Stain Grade,Front Door Frames - Front Door Frames,Each,237.50,Pre Hung Doors,Front Door Frames - Front Door Frames,Brand: Front Door Frames - Front Door Frames | Model: Front Door Frames,2025-11-03
TPPC,Plastic Collors (Per Penetration),General,Each,10.45,TERMITE PROTECTION,,,2025-11-03
SDOS,Entry Door Frame Single 140 X 31 To Suit 820 X 2040 Door With Sill - Stain Grade,Front Door Frames - Front Door Frames,Each,154.00,Pre Hung Doors,Front Door Frames - Front Door Frames,Brand: Front Door Frames - Front Door Frames | Model: Front Door Frames,2025-11-03
SDFGRHT820,Entry Door Frame Single with 1 Fixed Glazed Trans Panel 140 X 31 To Suit 820 X 2040 Door RH 1210mm With Sill - Paint Grade,Front Door Frames - Front Door Frames,Each,333.00,Pre Hung Doors,Front Door Frames - Front Door Frames,Brand: Front Door Frames - Front Door Frames | Model: Front Door Frames,2025-11-03
PS18450,Particleboard Shelving 1800 X 450 X 16mm,General,Shts,13.21,Pre Hung Doors,,,2025-11-03
PS24450,Particleboard Shelving 2400 X 450 X 16mm,General,Shts,15.51,Pre Hung Doors,,,2025-11-03
PS36450,Particleboard Shelving 3600 X 450 X 16mm,General,Shts,23.73,Pre Hung Doors,,,2025-11-03
BGHR,Bobcat General Hourly Rate,General,Hours,,,,NEEDS PRICING,2025-11-03
BONDSH,Bondeck Sheets 590mm,General,m,120.53,Ausreo Pty Ltd,,,2025-11-03
DWQUOTE,Driveway Quote,General,Each,1.00,DRIVEWAY,,Budget Zone: Driveway,2025-11-03
MS2433,Mirror Sliders 2400 X 3300,Mirror Vinyl Sliders - Civic,Each,698.00,Civic Shower Screens & Wardrobes,Civic - 3D Slider,Brand: Civic - 3D Slider | Model: 3D Slider,2025-11-03
SSSFFO2014,Semi-Framed Shower Screen with Frameless Door Front Only Pivot Clear Glass 2000 X 1400,Semi Frameless - Civic,Each,505.00,Civic Shower Screens & Wardrobes,Civic - 1400 Front,Brand: Civic - 1400 Front | Model: 1400 Front,2025-11-03
SSSFFO2010,Semi-Framed Shower Screen with Frameless Door Front Only Pivot Clear Glass 2000 X 1000,Semi Frameless - Civic,Each,445.00,Civic Shower Screens & Wardrobes,Civic - 1000 Front,Brand: Civic - 1000 Front | Model: 1000 Front,2025-11-03
SSSFFO2017,Semi-Framed Shower Screen with Frameless Door Front Only Pivot Clear Glass 2000 X 1700,Semi Frameless - Civic,Each,568.00,Civic Shower Screens & Wardrobes,Civic - 1700 Front,Brand: Civic - 1700 Front | Model: 1700 Front,2025-11-03
SSSFFO2015,Semi-Framed Shower Screen with Frameless Door Front Only Pivot Clear Glass 2000 X 1500,Semi Frameless - Civic,Each,543.00,Civic Shower Screens & Wardrobes,Civic - 1500 Front,Brand: Civic - 1500 Front | Model: 1500 Front,2025-11-03
SSSFFO2011,Semi-Framed Shower Screen with Frameless Door Front Only Pivot Clear Glass 2000 X 1100,Semi Frameless - Civic,Each,468.00,Civic Shower Screens & Wardrobes,Civic - 1100 Front,Brand: Civic - 1100 Front | Model: 1100 Front,2025-11-03
SSSFFO2016,Semi-Framed Shower Screen with Frameless Door Front Only Pivot Clear Glass 2000 X 1600,Semi Frameless - Civic,Each,543.00,Civic Shower Screens & Wardrobes,Civic - 1600 Front,Brand: Civic - 1600 Front | Model: 1600 Front,2025-11-03
SSSFFO2012,Semi-Framed Shower Screen with Frameless Door Front Only Pivot Clear Glass 2000 X 1200,Semi Frameless - Civic,Each,468.00,Civic Shower Screens & Wardrobes,Civic - 1200 Front,Brand: Civic - 1200 Front | Model: 1200 Front,2025-11-03
SSSFFO2013,Semi-Framed Shower Screen with Frameless Door Front Only Pivot Clear Glass 2000 X 1300,Semi Frameless - Civic,Each,505.00,Civic Shower Screens & Wardrobes,Civic - 1300 Front,Brand: Civic - 1300 Front | Model: 1300 Front,2025-11-03
SSSFFO2018,Semi-Framed Shower Screen with Frameless Door Front Only Pivot Clear Glass 2000 X 1800,Semi Frameless - Civic,Each,568.00,Civic Shower Screens & Wardrobes,Civic - 1800 Front,Brand: Civic - 1800 Front | Model: 1800 Front,2025-11-03
SSFRC2010,Semi-Framed Shower Screen with Frameless Door Front and Return Pivot Clear Glass 2000 X 1000 X 1000,Semi Frameless - Civic,Each,610.00,Civic Shower Screens & Wardrobes,Civic - 1000 x 1000 Corner,Brand: Civic - 1000 x 1000 Corner | Model: 1000 x 1000 Corner,2025-11-03
SSFRC2011,Semi-Framed Shower Screen with Frameless Door Front and Return Pivot Clear Glass 2000 X 1100 X 1000,Semi Frameless - Civic,Each,638.00,Civic Shower Screens & Wardrobes,Civic - 1100 x 1000 Corner,Brand: Civic - 1100 x 1000 Corner | Model: 1100 x 1000 Corner,2025-11-03
SSFRC2012,Semi-Framed Shower Screen with Frameless Door Front and Return Pivot Clear Glass 2000 X 1200 X 1000,Semi Frameless - Civic,Each,638.00,Civic Shower Screens & Wardrobes,Civic - 1200 x 1000 Corner,Brand: Civic - 1200 x 1000 Corner | Model: 1200 x 1000 Corner,2025-11-03
SSFRC2013,Semi-Framed Shower Screen with Frameless Door Front and Return Pivot Clear Glass 2000 X 1300 X 1000,Semi Frameless - Civic,Each,665.00,Civic Shower Screens & Wardrobes,Civic - 1300 x 1000 Corner,Brand: Civic - 1300 x 1000 Corner | Model: 1300 x 1000 Corner,2025-11-03
SSFRC2014,Semi-Framed Shower Screen with Frameless Door Front and Return Pivot Clear Glass 2000 X 1400 X 1000,Semi Frameless - Civic,Each,665.00,Civic Shower Screens & Wardrobes,Civic - 1400 x 1000 Corner,Brand: Civic - 1400 x 1000 Corner | Model: 1400 x 1000 Corner,2025-11-03
SSFRC2015,Semi-Framed Shower Screen with Frameless Door Front and Return Pivot Clear Glass 2000 X 1500 X 1000,Semi Frameless - Civic,Each,1500.00,Civic Shower Screens & Wardrobes,Civic - 1500 x 1000 Shower,Brand: Civic - 1500 x 1000 Shower | Model: 1500 x 1000 Shower,2025-11-03
SSFRC2016,Semi-Framed Shower Screen with Frameless Door Front and Return Pivot Clear Glass 2000 X 1600 X 1000,Semi Frameless - Civic,Each,0.00,Civic Shower Screens & Wardrobes,Civic - 1600 x 1000 Corner,Brand: Civic - 1600 x 1000 Corner | Model: 1600 x 1000 Corner,2025-11-03
SSFRC2017,Semi-Framed Shower Screen with Frameless Door Front and Return Pivot Clear Glass 2000 X 1700 X 1000,Semi Frameless - Civic,Each,0.00,Civic Shower Screens & Wardrobes,Civic - 1700 x 1000 Corner,Brand: Civic - 1700 x 1000 Corner | Model: 1700 x 1000 Corner,2025-11-03
SSFRC2018,Semi-Framed Shower Screen with Frameless Door Front and Return Pivot Clear Glass 2000 X 1800 X 1000,Semi Frameless - Civic,Each,638.00,Civic Shower Screens & Wardrobes,Civic - 1800 x 1000 Corner,Brand: Civic - 1800 x 1000 Corner | Model: 1800 x 1000 Corner,2025-11-03
SPS2,Survery Plan (Subdivision 2 Lots),General,Each,3100.00,Survey Mark,,,2025-11-03
HCERT,Final Height Certificate,General,Each,400.00,Survey Mark,,,2025-11-03
DNRM,DNRM&E Lodgement,General,Each,400.00,Survey Mark,,,2025-11-03
POWPOLOH,Temporary Power Pole Installation Cost Overhead 40AMP,General,Each,255.00,TEMPORARY POWER,,,2025-11-03
PIWO,Painting Internal Walls Only,Finishes,m²,1.00,PAINTER,,Budget Zone: Paint,2025-11-03
MGP1219045,Pine 190 X 45 MGP12,Timber,m,13.42,TIMBER FRAME,,,2025-11-03
EEAI,Energy Effciency Assesment - Ipswich,General,Each,10.91,Fluid Building Approvals,,,2025-11-03
TPMH,Travel Past Mango Hill Per Job,General,Each,75.00,,,,2025-11-03
TPCO,Travel Past Coomera Per Job,General,Each,75.00,,,,2025-11-03
TPCAB,Travel Past Caboolture Per Job,General,Each,150.00,Wayke Waterproofing,,,2025-11-03
MGP127045,Pine 70 X 45 MGP12,Timber,m,3.57,TIMBER FRAME,,,2025-11-03
CONWPLO,Concretor Waffle Pod Labour Only,General,m²,29.00,CONCRETOR,,,2025-11-03
CONWPP,Concretor Waffle Pod Piers,General,m,20.00,CONCRETOR,,,2025-11-03
CONWPST,Concretor Waffle Pod Strip Footings,General,m,45.00,CONCRETOR,,,2025-11-03
PNFQUOTE,Pre Nail Sub Floor Quote,Flooring,Each,1.00,TIMBER FRAME,,,2025-11-03
SJS112HLH,Pine Single Jamb Set Hinged 112 X 19 LH 2040 Chrome,Timber,Each,41.50,Pre Hung Doors,,,2025-11-03
SJS112HRH,Pine Single Jamb Set Hinged 112 X 19 RH 2040 Chrome,Timber,Each,41.50,Pre Hung Doors,,,2025-11-03
SJS112LOLH,Pine Single Jamb Set Lift Off Hinge 112 X 19 LH 2040 Chrome,Timber,Each,38.49,Pre Hung Doors,,,2025-11-03
SJS112LORH,Pine Single Jamb Set Lift Off Hinge 112 X 19 RH 2040 Chrome,Timber,Each,38.49,Pre Hung Doors,,,2025-11-03
DJS112HORL,Pine Double Jamb Set Hinged Only 112 X 19 RH/LH 2040 Chrome,Timber,Each,48.25,Pre Hung Doors,,,2025-11-03
DJS112LOLH,Pine Double Jamb Set Lift Off Hinge 112 X 19 LH 2040 Chrome,Timber,Each,48.25,Pre Hung Doors,,,2025-11-03
DJS112LORH,Pine Double Jamb Set Lift Off Hinge 112 X 19 RH 2040 Chrome,Timber,Each,48.25,Pre Hung Doors,,,2025-11-03
SJS112,Pine Single Jamb Set 112 X 19 2040,Timber,Each,25.00,Pre Hung Doors,,,2025-11-03
SBD,Security Door Bolt 444,Doors & Windows,Each,12.27,Pre Hung Doors,,,2025-11-03
WEFON,Wiring of Exhaust fan Only,Electrical,Each,,,,NEEDS PRICING,2025-11-03
CDP,Complete Down Pipes,Plumbing,Each,0.01,PLUMBER,,,2025-11-03
FEATUREWALL,Quote for Feature Wall - Supply and Install,General,Each,1.00,BRICKLAYER,,,2025-11-03
MGP129045,Pine 90 X 45 MGP12,Timber,m,4.20,TIMBER FRAME,,,2025-11-03
2422WHT,36 Watt Fluro Diffused,General,Each,,,,NEEDS PRICING | Budget Zone: Light Fittings,2025-11-03
2423WHT,2 X 36 Watt Fluro Diffused,General,Each,,,,NEEDS PRICING | Budget Zone: Light Fittings,2025-11-03
F3055,3 Blade HPM Fan F3055,3 Blades - HPM,Each,,,HPM - Ceiling Fan,NEEDS PRICING | Brand: HPM - Ceiling Fan | Budget Zone: Light Fittings | Model: Ceiling Fan | Colour: White - Electrical,2025-11-03
CPA12,Estimate Construction Power Allowance 12 Month Build,General,Each,130.00,TEMPORARY POWER,,,2025-11-03
CPA6,Estimate Construction Power Allowance 6 Month Build,General,Each,70.00,TEMPORARY POWER,,,2025-11-03
CPA9,Estimate Construction Power Allowance 9 Month Build,General,Each,100.00,TEMPORARY POWER,,,2025-11-03
CPA3,Estimate Construction Power Allowance 3 Month Build,General,Each,50.00,TEMPORARY POWER,,,2025-11-03
WDTDR,Water Damage and Turbo Dryer Rental,General,Each,309.00,FLOOR COVERING,,Budget Zone: Main Floors,2025-11-03
LZF,Linea Z Flashing 2700mm,Roofing,Each,6.47,Bunnings,,,2025-11-03
CARPS,Privacy Screens - Install Only,General,Each,35.00,Tekna Carpentry,,Colour: Colour Not Required - Plumbing Fitoff Gear,2025-11-03
MIRRORQ,Mirrors as Per Quote,General,Each,1.00,Civic Shower Screens & Wardrobes,,,2025-11-03
EXTLOCKQTE,External Locks as per Quote,General,Each,1.00,Pre Hung Doors,,,2025-11-03
CONCUTQTE,Concrete Cutting as per Quote,Concrete,Each,1.00,Logan Concrete Sawing & Drilling,,,2025-11-03
JAMB14031LOSP,Pine 140 X 31 Jamb Rebated Finger Jointed LOSP Pre Primed,Timber,m,8.14,,,,2025-11-03
SDP11018,Square Dressed Pine 110 X 18,Timber,m,3.77,Pre Hung Doors,,,2025-11-03
FRWBL,Foil Breather Rino Wrap with Logo,General,Each,125.29,SOFFIT,,,2025-11-03
NTD502.8G,Nail Timber Decking Galv 50 X 2.8 5kg,Timber,Each,42.50,Finlaysons Timber & Hardware Pty Ltd,,,2025-11-03
