item_code,item_name,category,unit_of_measure,current_price,supplier_name,brand,notes,last_updated
RB61060,600 X 1060 Roller Blind,General,Each,57.86,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB61210,600 X 1210 Roller Blind,General,Each,69.20,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB61360,600 X 1360 Roller Blind,General,Each,67.96,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB61510,600 X 1510 Roller Blind,General,Each,99.64,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB61660,600 X 1660 Roller Blind,General,Each,75.54,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB61810,600 X 1810 Roller Blind,General,Each,88.66,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB61960,600 X 1960 Roller Blind,General,Each,84.39,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB62110,600 X 2110 Roller Blind,General,Each,102.55,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB62260,600 X 2260 Roller Blind,General,Each,100.81,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB62410,600 X 2410 Roller Blind,General,Each,115.06,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB62560,600 X 2560 Roller Blind,General,Each,108.40,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB62710,600 X 2710 Roller Blind,General,Each,123.41,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB62860,600 X 2860 Roller Blind,General,Each,115.98,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB10610,1000 X 610 Roller Blind,General,Each,68.63,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB10760,1000 X 760 Roller Blind,General,Each,75.16,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB10910,1000 X 910 Roller Blind,General,Each,80.07,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB101060,1000 X 1060 Roller Blind,General,Each,86.60,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB101210,1000 X 1210 Roller Blind,General,Each,79.22,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB101360,1000 X 1360 Roller Blind,General,Each,99.67,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB101510,1000 X 1510 Roller Blind,General,Each,106.21,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB101660,1000 X 1660 Roller Blind,General,Each,112.75,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB101810,1000 X 1810 Roller Blind,General,Each,119.28,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB101960,1000 X 1960 Roller Blind,General,Each,124.18,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
