id,sys_type_id,deleted,parent_id,parent,parent$type,drive_id,folder_id,total,purchase_order_number,amount_still_to_be_invoiced,estimation_check,sub_total,tax,ted_task_id,ted_task,ted_task$type,supplier_id,supplier,supplier$type,total_with_allowance,product_package_id,product_package,product_package$type,construction_id,construction,construction$type,budget,xero_amount_paid,xero_supplier,xero_complete,xero_still_to_be_paid,xero_budget_diff,xero_paid_date,diff_po_with_allowance_versus_budget,xero_id,xero_total_with_allowance,diff_xero_and_total_but_not_complete,total_allowance_xero_paid,part_payment,xero_amount_paid_exc_gst,ld_versus_xero_paid,sams_notes
54369,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W4BWEO4YFE2S5C2IU4IFYTKEF56,,PO-054369,,false,,,363,Req Hot Water System,99,500,Chromagen Australia Pty Ltd,16,,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,0,2183.5,Chromagen,true,0,-2183.5,2025-10-15,,6edf6868-db13-4c8f-8b72-34378d1c4e8f,54369,,,false,1985,-2183.5,
54370,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W2LNV2NARNH4JC3JJOFPSYQBAFH,,PO-054370,,false,,,363,Req Hot Water System,99,500,Chromagen Australia Pty Ltd,16,,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,0,2183.5,Chromagen,true,0,-2183.5,2025-10-15,,6edf6868-db13-4c8f-8b72-34378d1c4e8f,54370,,,false,1985,-2183.5,
48847,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6WY2PYNUBKOQ5RCYZPKYRT32T762,2941.4,PO-048847,,true,2674,267.4,658,"Req Shower Screens, Mirrors and Sliding Doors",99,501,Civic Shower Screens & Wardrobes,16,2941.4,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,4688.2,0,0,false,4688.2,0,0,-1746.8,bf7694da-369a-4d58-b5c7-0c695155b61c,48847,2941.4,2941.4,false,0,4688.2,
48878,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W3Y5ZVQMA23GZCKEEGDFO5O6Q7D,31161.35,PO-048878,,true,28328.5,2832.85,299,Req Driveway Concrete,99,502,ReadyMix Concrete,16,31161.35,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,32381.85,7463.78,Ready Mix Concrete,false,24918.07,0,2025-10-3,-1220.5,4470b198-5db7-43d7-80aa-c202835ea765,48878,23697.57,23697.57,true,6785.25,24918.07,
52141,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W2N7GSZXHMYHRDLFTLX2TJKV6HX,30782.4,PO-052141,,true,27984,2798.4,267,Req Concrete for Wafflepod,99,502,ReadyMix Concrete,16,30782.4,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,30782.4,47602.5,Sunny Coast Concreting,true,0,-16820.1,2025-4-24,0,4470b198-5db7-43d7-80aa-c202835ea765,52141,-16820.1,-16820.1,false,43275,-16820.1,
54384,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W4E3VIIQ4HUWZEL5RTNQW45YV46,1395.768,PO-054384,,false,1268.88,126.888,310,Req Electrical Items,99,506,Harvey Norman Commercial QLD,16,1395.768,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,0,0,,false,0,0,,1395.768,c567275f-5bfb-43fb-afcc-fc1fad4ef82a,54384,1395.768,1395.768,false,,0,
48907,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W3ULKUPIMYY3NEKWOXHAUY5OA72,688.16,PO-048907,,true,625.6,62.56,388,Req Mixer Bodies For Plumber Rough In,99,506,Harvey Norman Commercial QLD,16,688.16,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,688.16,688.16,Harvey Norman Commercial,true,0,0,2025-8-1,0,c567275f-5bfb-43fb-afcc-fc1fad4ef82a,48907,0,0,false,625.6,0,
49291,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W7LVEF77KIPOVF2ZGOPG5KKHOYV,18046.424,PO-049291,,true,16405.84,1640.584,415,Req Plumber Fitoff Gear,99,506,Harvey Norman Commercial QLD,16,18046.424,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,17855.255,15907.39,Harvey Norman Commercial,false,1947.865,0,2025-9-11,191.169,c567275f-5bfb-43fb-afcc-fc1fad4ef82a,49291,2139.034,2139.034,true,14461.27,1947.865,Do we want any Grab Rails Ordered
54375,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W3BMR2B6H4MXVG3GGRSIUNJLZNO,2715.24,PO-054375,,false,2468.4,246.84,415,Req Plumber Fitoff Gear,99,506,Harvey Norman Commercial QLD,16,2715.24,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,0,0,,false,0,0,,2715.24,c567275f-5bfb-43fb-afcc-fc1fad4ef82a,54375,2715.24,2715.24,false,,0,
48915,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W32NLVCFKD5SZB35RMGWEI5AGA6,7230.696,PO-048915,,true,6573.36,657.336,735,Req Dishwasher,99,506,Harvey Norman Commercial QLD,16,7230.696,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,7230.696,0,0,false,7230.696,0,0,0,c567275f-5bfb-43fb-afcc-fc1fad4ef82a,48915,7230.696,7230.696,false,0,7230.696,
48859,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W67KEJIXFJNQZFKDT6WD33DO7EA,3605.8,PO-048859,,true,3278,327.8,484,Req Steel Posts,99,507,Harvey's Mechanical & Welding Services Pty Ltd,16,3605.8,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,3055.25,4675,Harvey's Mechanical & Welding,true,0,-1619.75,2025-8-29,550.55,642e2059-5ecf-4718-b3bb-00e6e3c2ff24,48859,-1069.2,-1069.2,false,4250,-1619.75,
53055,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6WYN3CLIYURMOFC34ZA3ZM4OLGO2,5984,PO-053055,,true,5440,544,490,Req Structural Steel,99,507,Harvey's Mechanical & Welding Services Pty Ltd,16,5984,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,5984,5984,Harvey's Mechanical & Welding,true,0,0,2025-6-28,0,642e2059-5ecf-4718-b3bb-00e6e3c2ff24,53055,0,0,false,5440,0,
