code,description,status,unit,range,range$type,lead_time,has_file,tax_rate_id,tax_rate,code_description,profile,delivery_confirmation,price,default_supplier,req_multi_colour,req_profile,req_specification,boq_only,default_supplier_id,specification_image_ok,req_product_colour_image,category_id,category
PMAD7TRANS,PMAD 7 2040 X 820 X 40 Translucent,Active,Each,PMAD7 - Corinthian,71,0,,1,GST,PMAD7TRANS : PMAD 7 2040 X 820 X 40 Translucent,,0,315,Pre Hung Doors (PHD),TRUE,TRUE,FALSE,FALSE,300,,FALSE,135,ENTRY DOORS
PMAD72340CLEAR,PMAD 7 2340 X 820 X 40 Clear,Active,Each,PMAD7 - Corinthian,71,0,,1,GST,PMAD72340CLEAR : PMAD 7 2340 X 820 X 40 Clear,,0,412,Pre Hung Doors (PHD),TRUE,TRUE,FALSE,FALSE,300,,FALSE,135,ENTRY DOORS
PMAD72340TRANS,PMAD 7 2340 X 820 X 40 Translucent,Active,Each,Madison - Corinthian,71,0,,1,GST,PMAD72340TRANS : PMAD 7 2340 X 820 X 40 Translucent,,0,487,Pre Hung Doors (PHD),TRUE,TRUE,FALSE,FALSE,300,,FALSE,135,ENTRY DOORS
PRU07820,PRU07 2040 X 820 X 40 GLAZED ACID ETCH,Active,Each,,,10,,1,GST,PRU07820 : PRU07 2040 X 820 X 40 GLAZED ACID ETCH,FALSE,2,600,Pre Hung Doors (PHD),TRUE,FALSE,FALSE,FALSE,300,FALSE,TRUE,135,ENTRY DOORS
BSF10450,1000 X 450 Barrier Screen Fireguard,Active,each,,,0,,1,GST,BSF10450 : 1000 X 450 Barrier Screen Fireguard,FALSE,0,64.0455,Lovering Installations QLD,TRUE,FALSE,FALSE,TRUE,240,FALSE,FALSE,186,TURN KEY
RBSD211215,2100 X 1215 Roller Blind Sliding Door,Active,Each,,,0,,1,GST,RBSD211215 : 2100 X 1215 Roller Blind Sliding Door,FALSE,0,111.1091,Lovering Installations QLD,TRUE,FALSE,FALSE,TRUE,240,FALSE,FALSE,186,TURN KEY
RBSD211290,2100 X 1290 Roller Blind Sliding Door,Active,Each,,,0,,1,GST,RBSD211290 : 2100 X 1290 Roller Blind Sliding Door,FALSE,0,119.2818,Lovering Installations QLD,TRUE,FALSE,FALSE,TRUE,240,FALSE,FALSE,186,TURN KEY
ECP,"Exposed concrete package including driveway prep, crusher dust, steel supply and install, concrete supply and install, acid wash",Active,Sqm,,,0,,1,GST,"ECP : Exposed concrete package including driveway prep, crusher dust, steel supply and install, concrete supply and install, acid wash",,0,105,DRIVEWAY,FALSE,FALSE,FALSE,TRUE,304,,FALSE,217,DRIVEWAY
PGBFCP,"Plain grey broom finish concrete package including driveway prep, crusher dust, steel supply and install, concrete supply and install, acid wash",Active,Sqm,,,0,,1,GST,"PGBFCP : Plain grey broom finish concrete package including driveway prep, crusher dust, steel supply and install, concrete supply and install, acid wash",,0,95,DRIVEWAY,FALSE,FALSE,FALSE,TRUE,304,,FALSE,217,DRIVEWAY
KCFR,Kerb cut flat rate,Active,Each,,,0,,1,GST,KCFR : Kerb cut flat rate,,0,250,DRIVEWAY,FALSE,FALSE,FALSE,TRUE,304,,FALSE,217,DRIVEWAY
FPCFR,Footpath cut flat rate,Active,Each,,,0,,1,GST,FPCFR : Footpath cut flat rate,,0,250,DRIVEWAY,FALSE,FALSE,FALSE,TRUE,304,,FALSE,217,DRIVEWAY
DBHFR,Driveway Bobcat hire flat rate,Active,Each,,,0,,1,GST,DBHFR : Driveway Bobcat hire flat rate,,0,300,DRIVEWAY,FALSE,FALSE,FALSE,TRUE,304,,FALSE,217,DRIVEWAY
